label	text
f	My interest in linguistics started with my desire to better comprehend the English language. From a very early age I developed fast a great interest in languages. Though the thought of engaging in the field of computational linguistics has never crossed my mind until I found this program in Tuebingen that combines both my love for languages and the current necessities of computation of almost everything. I am fascinated by the ongoing developments in the field and I’ve always been curious to learn what happens behind the curtains. With the help of this field our everyday lives are constantly improved. At first the idea of replacing more and more of our services with technology , frightened me but come to think of it, our lives are considerably improved by artificial intelligence. With the help of it we can pursue any goal we want, be it a career, family or just travelling. Robots could change the world into a better place, they could serve us or be our friends, or execute our time consuming and repetitive tasks. They could create enough resource and revenue to sustain our choices and preferences of living where for example, things like “I need a job in order to sustain a living!“ would no longer exist. In conclusion, these are some of the reasons why my interest in computational linguistics is constantly developing.
m	Just one or two decades ago systems involving natural languages were pretty terrible. Machine translation for example was barley worked most of the time. Same for speech recognition systems. However, both of them evolved in impressing ways over time. Nowadays it's possible to translate several sentences from English to German and they not only make sense, but are also grammatically correct. Same holds true for speech recognition systems like Alexa or Siri that actually work most of the time. Human languages plays a huge role in our everyday life and for the longest time it seemed impossible for computers to properly understand or process it, especially considering that even we ourselve don't fully understand how language works. Combined with the additional chances that open up for processing large amount of data through better functioning NLP systems makes (computational) linguistics an interesting field of computation.
f	"My interest in linguistics started with my desire to better comprehend the English language.
From a very early age I developed fast a great interest in languages.
Though the thought of engaging in the field of computational linguistics
has never crossed my mind only until I found this program in Tuebingen that
combines both my love for languages and the current necessities
of computation of almost everything.
I am fascinated by the ongoing developments in this field and I’ve always
been curious to learn what happens behind the curtains.
With the help of this field our everyday lives are constantly improved.
At first the idea of replacing more and more of our services with technology,
frightened me but come to think of it, our lives are considerably improved by artificial intelligence.
And all tedious tasks are excluded from our lives, we are left with the freedom to pursue any goal we want,
be it a career, family or just travelling. Robots could change the world into a better place,
they could serve us or be our friends, or execute our time consuming and repetitive tasks.
They could create enough resource and revenue to sustain our choices and preferences of living where for example,
things like “I need a job in order to sustain a living!“ would no longer exist.
In conclusion, these are some of the reasons why my interest in computational linguistics is constantly developing."
f	"I study Computer Science and Mathematics, which has introduced me to formal
languages and complexity theory.  Since I was a kid, I've been interested in
learning languages and intrigued, more broadly, by how language functions.
Because of  this, combined with my background in Math and CS, I found myself
interested in linguistics, especially in regards to trying to codify and parse
language.  Last summer I started working in a lab doing audio analysis
research.  This inspired me to learn more about Natural Language Processing,
especially in relation to Machine Learning.  As such, I find that my interest
in the fields of linguistics and computation largely surrounds the question of
""how can we use computation and/or computational models to better understand
natural languages?"", both in practical and theoretical ways."
m	"Natural Languages and language learning have always been an interest for me.
Already in high school I liked language courses because I was good at it.
I always found learning a new language gave me an alternative perspective on the world.
At a younger age language was not interesting for me because I liked literature or poetry.
It was rather the structure, the grammar and the combinations of different letters I found exciting.
Learning them was always fun, I even liked Latin a lot whereas almost all of my classmates hated it.
Computation and Programming, on the other hand, hardly played a role during my adolescence. 
It was only when I had already become an adult that I started programming.
Very fast, I discovered how exciting it could be to combine language with the abilities of a machine and try to solve linguistic problems with it.
I had not heard of computational linguistics after leaving school.
It took some time until I heard about for the first time.
At this point I knew that this was what I wanted to do."
m	﻿I'm interested in the engineering side of computational linguistics. I like solving, in this case, interesting linguistic-based problems, and computers are good to such ends. Specifically, I'm intrigued by machine translation, dialog systems, text, classification, text mining/analytics, sentiment analysis.Therein lies my interest in linguistics and computation. And that's five sentences.
m	Linguistics is a journey, but it is not one taken on foot or by whatsoever means of physical locomotion may be your preference. No, linguistics is a journey of the mind, one where we wander the very thoroughfares of thought, taking in the spectacle of unbridled human cerebration. Yet just as an odyssey by land (though not, in the majority of cases, by sea) is conveyed with far greater haste aided by a stalwart steed, so does the practice of computation carry us with unparalleled haste upon our linguistic endeavors. Who among us can claim to know of a greater achievement than to take even the first hesitant steps along this path to understanding the human mind and perhaps even the underlying soul? For what is a captcha if not a test of god given soul? Only a fool would place some other wretched field of study above this most hallowed one.
f	Linguistics is something that I've been fascinated by since I learned about it. When I was a little kid I wanted to be like Indiana Jones when I grew up, because I found the whole concept of ancient civilisations and in particular lost languages really interesting. As I got older I discovered that becoming Indiana Jones is unfortunately not a viable career path. So, I went into the theoretical linguistics field and eventually transitioned into computational linguistics. I was intrigued by how the theoretical approaches I had learned can be automated using computational approaches, and was surprised by how many technological advancements are rooted in computational linguistics. I think that the task of trying to translate the intricacies of human language to something more logical and systematic is really interesing and I'm excited for the future of this relatively new field.
f	There are many applications in linguistics and computation. The difficulty is to formalize natural language. For me, it's really interesting that we can do linguistic research by computer. We try to make computer understand natural language. And there are so many different approaches.
f	Regarding overall linguistics I was always very interested in languages, especially the similarities and differences between them. I also find it very interesting how languages change over time, what is the origin of a word and so on. Regarding Computational Linguistics my main interest are the different aspects to help people learn languages and work with them. This includes software to help learn languages, for example, implementing Second Language Acquisition theories to improve language learning applications. Another help for learning languages, what I am also interested in is machine translation.
f	﻿From the ISCL BA program, my main focus of interest is computer programming itself. From linguistics, I am mostly interested in cognitive linguistics and language use. I hope to learn how to use Python and Java for solving complex problems. I am also interested in looking at linguistic tasks as programming challenges. I am looking forward to this course as I hope it will help me become a better programmer.
m	"I have been interested in languages since I was a child, since I grew up bilingual.
It is interesting to learn how different languages are actually quite similar, in terms of grammar.
Studying computational linguistics right now is also really interesting, since the research in this field is really active.
I am really interested in machine translation and how to work the methods and technology changed thorughout the years.
But sometimes taking a linguistics class is really boring, but I got used to it."
m	"I had some linguistics classes in a other study program.
This sparked my interested for linguistics.
Programming was always something I was interested in.
Therefore computational linguistics seemed to be the perfect combination of subjects for me.
I'm looking forward to the future and where my studies take me.
Machine learning might be the field that piques my biggest interest."
f	"My interest in linguistics developed during my studies of German linguistics. I find it interesting how linguistic systems define our understanding of the world and how this had changed over time. 
It's pretty interesting how words and morphemes have changed. But to seek these changes with the hand and the eyes is difficult. Therefore, it is easier to study these differences in a way that is more elegant than before. In addition, the development of programming languages ​​is interesting compared to existing languages."
f	The field of computational linguistics is an exciting area with many applications which can have a large impact on people's lives. I am currently interested in five subfields. Firstly, I want to develop tools for language acquisition. Virtual AI assistant is also a promising new area of research with many potential applications. Especially I am interested in tools for people with visual or auditory impairments. Machine translation is also one of the important subfield in the computational linguistics.
m	My main interest in linguistics and computation is from the time I spend working for the  homepage quality control department of a big automotive company. Back then we just started to do testing with automation. For example, Spell-checking had to be done in many languages. Doing this by visual checks (bot takes screenshots of pages and compares to stock images) for the corporate main pages was okay because the translations there were given (layout everything was already in image form provided in documentation, but the lower it went in the structure(from main country page to dealers etc.) the more freedom was there to make up own texts. To explain the homepages were created by the companies CMS system, so support for that was also with the quality control department. Having knowledge in linguistics and computation would have been a huge help back then for me. Also i understood after working on creating fully automated quality tests that this part of the job will only get bigger in size compared to manual testing.
f	Language is such a vital part of communication. Studying linguistics allows one to enjoy and learn the facets of such a science. The computational aspects allow one to further this knowledge and bridge the gap between these two disciplines. This course seems like it will finally give instruction in the practical application of computational linguistics, which I'm sure most are rather excited about. So yeah.
m	"Since early age, I had an interest in languages, and also computers. ISCL allows me to combine these two.
By analyzing and simplifying languages, we can see the underlying structures, and compare different languages. 
Also, by using different programming languages (Java, Python, etc.), we can translate machine language into real-world language, and vice versa.
To me, this field is very interesting, since it's always developing, and has a large variety of uses in the future."
m	"I've been interested in linguistics since I was young, which showed mostly through my desire to learn many new languages.
Thoroughout high school, I've learned English relatively well and I attempted to branch out to other languages too, from which German was the one I invested the most time into.
I don't consider myself fluent in German, as I still have trouble expressing myself using the language, but I'm managing to understand fairly well.
Over time, I realised my interest in languages didn't just manifest itself in my desire to learn completely new languages, but also in observing patterns and similarities.
I invested a lot of time reading about linguistics, and the field of computational linguistics was recommended to me by my high scool literature teacher.
Unfortunately, there are no universities providing complete computational linguistics courses in my country, so I decided to brave the world and try my luck here in Germany."
f	"Learning linguistics can help one with acquiring a second language. 
Programming is fun.
I am interested in data science.
Data solves problems.
I like python.
Programming is good for brain."
f	What I love most about computation is the logic behind (almost) everything. There's a beauty in the straigthforwardness of breaking down a complex problem into simple instructions. Natural languages, on the other hand, are far more ambiguous and intricate. This makes the problems we want to solve via computational methods all the more challenging and therefore interesting. It's a different kind of beauty and it's the combination of both that makes Computational Linguistics so attractive to me. That's why I chose this specialization in my Master's degree after completing my B.Eng. in Computer Science.
m	"I came to this area somewhat serendipitously. In short, I had observed in the workplace what it was to be a programmer, I wanted to learn these skills, and this Computational Linguistics course proved was the best fit for me that was taught in English.
Since living in Germany I have come to greatly appreciate google translate, and I now use amazon alexa regularly. I am very excited about the potential of speech-based interfaces to provide a healthier way for humans to work with computers for everyday tasks (as opposed to the addictive and distracting interfaces that screens have become). 
It is also fun to consider the new ways that technologies could influence life through a speech interface, from telling the driver what the tyre pressure to streamlining agricultural practices by allowing farmers to record vocal data while their hands are dirty."
